p1_hand_category;p1_hand_rank;p1_hand_value;p2_hand_category;p2_hand_rank;p2_hand_value;p1_action_0;p1_raise_0;p2_action_0;p2_raise_0;p1_action_1;p1_raise_1;p2_action_1;p2_raise_1;p1_action_2;p1_raise_2;p2_action_2;p2_raise_2;p1_action_3;p1_raise_3;p2_action_3;p2_raise_3;p1_money_left;p2_money_left;p1_spent_per_hand_value;p2_spent_per_hand_value;p1_final_action;p2_final_action
8;11;298;2;10;89;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.077181208053691;0.089887640449438;2;0
3;14;492;0;13;250;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.046747967479675;0.032;2;0
0;10;158;5;8;448;2;5;2;10;2;45;1;45;-1;-1;-1;-1;-1;-1;-1;-1;352;347;0.30379746835443;0.118303571428571;2;1
0;11;107;7;8;217;2;5;2;10;2;19;1;19;-1;-1;-1;-1;-1;-1;-1;-1;378;373;0.205607476635514;0.124423963133641;2;1
2;10;30;6;13;292;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.766666666666667;0.095890410958904;2;1
2;13;194;6;13;461;2;5;2;10;2;20;2;40;2;91;1;91;-1;-1;-1;-1;285;260;0.592783505154639;0.303687635574837;2;1
5;10;292;1;5;169;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.078767123287671;0.047337278106509;2;0
1;12;35;8;4;166;2;5;2;10;2;18;1;18;-1;-1;-1;-1;-1;-1;-1;-1;379;374;0.6;0.156626506024096;2;1
1;5;233;3;14;455;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.103004291845494;0.105494505494506;0;2
0;14;312;8;2;477;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.076923076923077;0.10062893081761;0;2
0;9;30;4;3;451;2;5;2;10;2;7;2;14;2;1;2;2;1;2;-1;-1;385;375;0.5;0.055432372505543;1;2
0;5;87;3;8;180;2;5;2;10;2;49;1;49;-1;-1;-1;-1;-1;-1;-1;-1;348;343;0.597701149425287;0.316666666666667;2;1
